"Date","P/E","P/B","Div Yield %"
"20 Oct 2023","21.68","3.43","1.38"
"19 Oct 2023","21.77","3.44","1.36"
"18 Oct 2023","21.87","3.45","1.36"
"17 Oct 2023","22.38","3.48","1.35"
"16 Oct 2023","22.29","3.46","1.36"
"13 Oct 2023","22.33","3.47","1.36"
"12 Oct 2023","22.39","3.47","1.36"
"11 Oct 2023","22.41","3.48","1.36"
"10 Oct 2023","22.27","3.46","1.36"
"09 Oct 2023","22.07","3.42","1.38"
"06 Oct 2023","22.23","3.45","1.37"
"05 Oct 2023","22.11","3.43","1.37"
"04 Oct 2023","21.98","3.41","1.38"
"03 Oct 2023","22.09","3.43","1.38"
"29 Sep 2023","22.21","3.45","1.37"
"28 Sep 2023","22.05","4.31","1.38"
"27 Sep 2023","22.27","4.36","1.36"
"26 Sep 2023","22.21","4.35","1.37"
"25 Sep 2023","22.22","4.36","1.37"
"22 Sep 2023","22.22","4.36","1.37"
"21 Sep 2023","22.30","4.37","1.36"
"20 Sep 2023","22.48","4.41","1.35"
"18 Sep 2023","22.74","4.46","1.34"
"15 Sep 2023","22.81","4.47","1.33"
"14 Sep 2023","22.71","4.47","1.34"
"13 Sep 2023","22.67","4.46","1.34"
"12 Sep 2023","22.58","4.44","1.35"
"11 Sep 2023","22.59","4.46","1.35"
"08 Sep 2023","22.39","4.43","1.36"
"07 Sep 2023","22.28","4.41","1.36"
"06 Sep 2023","22.37","4.43","1.36"
"05 Sep 2023","22.33","4.46","1.36"
"04 Sep 2023","22.28","4.46","1.36"
"01 Sep 2023","22.17","4.44","1.37"
"31 Aug 2023","21.97","4.40","1.38"
"30 Aug 2023","22.07","4.42","1.38"
"29 Aug 2023","22.07","4.42","1.38"
"28 Aug 2023","22.03","4.43","1.38"
"25 Aug 2023","21.98","4.44","1.38"
"24 Aug 2023","22.12","4.47","1.37"
"23 Aug 2023","22.19","4.56","1.37"
"22 Aug 2023","22.13","4.55","1.37"
"21 Aug 2023","22.42","4.66","1.37"
"18 Aug 2023","22.32","4.64","1.36"
"17 Aug 2023","22.39","4.66","1.39"
"16 Aug 2023","22.52","4.68","1.39"
"14 Aug 2023","22.64","4.70","1.39"
"11 Aug 2023","22.63","4.70","1.38"
"10 Aug 2023","22.77","4.73","1.36"
"09 Aug 2023","22.81","4.75","1.37"
"08 Aug 2023","22.73","4.73","1.31"
"07 Aug 2023","22.83","4.74","1.34"
"04 Aug 2023","22.71","4.72","1.34"
"03 Aug 2023","22.55","4.69","1.35"
"02 Aug 2023","22.72","4.73","1.33"
"01 Aug 2023","22.96","4.82","1.28"
"31 Jul 2023","23.01","4.83","1.28"
"28 Jul 2023","22.91","4.80","1.29"
"27 Jul 2023","23.83","4.80","1.28"
"26 Jul 2023","23.97","4.83","1.27"
"25 Jul 2023","23.55","4.81","1.28"
"24 Jul 2023","23.83","4.81","1.28"
"21 Jul 2023","23.95","4.82","1.27"
"20 Jul 2023","24.24","4.88","1.28"
"19 Jul 2023","24.09","4.85","1.27"
"18 Jul 2023","24.18","4.83","1.28"
"17 Jul 2023","24.14","4.82","1.29"
"14 Jul 2023","23.96","4.78","1.30"
"13 Jul 2023","23.81","4.74","1.32"
"12 Jul 2023","22.58","4.54","1.38"
"11 Jul 2023","22.65","4.56","1.38"
"10 Jul 2023","22.55","4.54","1.38"
"07 Jul 2023","22.52","4.53","1.39"
"06 Jul 2023","22.72","4.57","1.37"
